horizon,n_episodes,avg_first_cross_lead_months,avg_max_lead_months,avg_max_p_pre,share_crossed
12m,3,10.0,6.666666666666667,0.2469579470916944,0.6666666666666666
3m,3,,11.333333333333334,0.12140577140976964,0.0
6m,3,10.0,9.0,0.16280279343913948,0.6666666666666666
